"Area_jp","Area_en","KEN"
"宗谷","Sooya","北海道"
"上川","Kamikawa","北海道"
"留萌","Rumoi","北海道"
"石狩","Ishikari","北海道"
"空知","Sorachi","北海道"
"後志","Shiribeshi","北海道"
"網走・北見・紋別","Abashiri","北海道"
"根室","Nemuro","北海道"
"釧路","Kushiro","北海道"
"十勝","Tokachi","北海道"
"胆振","Iburi","北海道"
"日高","Hidaka","北海道"
"渡島","Oshima","北海道"
"檜山","Hiyama","北海道"
"青森","Aomori","青森県"
"岩手","Iwate","岩手県"
"宮城","Miyagi","宮城県"
"秋田","Akita","秋田県"
"山形","Yamagata","山形県"
"福島","Fukushima","福島県"
"茨城","Ibaraki","茨城県"
"栃木","Tochigi","栃木県"
"群馬","Gumma","群馬県"
"埼玉","Saitama","埼玉県"
"千葉","Chiba","千葉県"
"東京","Tokyo","東京都"
"神奈川","Kanagawa","神奈川"
"新潟","Niigata","新潟県"
"富山","Toyama","富山県"
"石川","Ishikawa","石川県"
"福井","Fukui","福井県"
"山梨","Yamanashi","山梨県"
"長野","Nagano","長野県"
"岐阜","Gifu","岐阜県"
"静岡","Shizuoka","静岡県"
"愛知","Aichi","愛知県"
"三重","Mie","三重県"
"滋賀","Shiga","滋賀県"
"京都","Kyoto","京都府"
"大阪","Osaka","大阪府"
"兵庫","Hyogo","兵庫県"
"奈良","Nara","奈良県"
"和歌山","Wakayama","和歌山県"
"鳥取","Tottori","鳥取県"
"島根","Shimane","島根県"
"岡山","Okayama","岡山県"
"広島","Hiroshima","広島県"
"山口","Yamaguchi","山口県"
"徳島","Tokushima","徳島県"
"香川","Kagawa","香川県"
"愛媛","Ehime","愛媛県"
"高知","Kochi","高知県"
"福岡","Fukuoka","福岡県"
"佐賀","Saga","佐賀県"
"長崎","Nagasaki","長崎県"
"熊本","Kumamoto","熊本県"
"大分","Oita","大分県"
"宮崎","Miyazaki","宮崎県"
"鹿児島","Kagoshima","鹿児島県"
"沖縄","Okinawa","沖縄県"
